id,Type,Title,Country,Data Added,Release Year,Rating,Genre
1,Movie,Esperando La Carroza,Argentina,7/15/2018,1985.0,NR,"Comedies, Cult Movies, International Movies"
2,Movie,Lucha: Playing the Impossible,Argentina,7/15/2018,2016.0,TV-PG,"Documentaries, International Movies, Sports Movies"
3,Movie,Just Love,Argentina,1/24/2019,2018.0,TV-MA,"Dramas, International Movies, Music & Musicals"
4,Movie,Desire,Argentina,12/21/2017,2017.0,TV-MA,"Dramas, International Movies, Romantic Movies"
5,Movie,The Aerial,Argentina,4/1/2018,2007.0,TV-MA,"Dramas, International Movies, Sci-Fi & Fantasy"
6,Movie,Chronicle of an Escape,Argentina,6/15/2018,2006.0,R,"Dramas, International Movies, Thrillers"
7,Movie,"Pizza, birra, faso",Argentina,3/15/2018,1998.0,TV-MA,"Dramas, International Movies"
8,Movie,Grego Rossello: Disculpe las molestias,Argentina,10/31/2019,2019.0,TV-MA,Stand-Up Comedy
9,Movie,"River, el más grande siempre",Argentina,7/5/2019,2019.0,TV-G,"Documentaries, International Movies, Sports Movies"
10,Movie,Agustín Aristarán: Soy Rada,Argentina,2/16/2018,2018.0,TV-MA,Stand-Up Comedy
11,Movie,Todo Sobre El Asado,Argentina,9/1/2017,2016.0,TV-14,"Documentaries, International Movies"
12,Movie,GO! The Unforgettable Party,Argentina,11/15/2019,2019.0,TV-PG,"Children & Family Movies, Music & Musicals"
13,Movie,"27, el club de los malditos",Argentina,5/1/2018,2018.0,TV-MA,"Action & Adventure, Comedies, International Movies"
14,Movie,Mater,Argentina,8/1/2018,2017.0,TV-MA,"Dramas, Independent Movies, International Movies"
15,Movie,Sebastián Marcelo Wainraich,Argentina,1/26/2018,2018.0,TV-MA,Stand-Up Comedy
16,Movie,Malena Pichot: Estupidez compleja,Argentina,3/2/2018,2018.0,TV-MA,Stand-Up Comedy
17,Movie,Todo lo que sería Lucas Lauriente,Argentina,4/6/2018,2018.0,TV-MA,Stand-Up Comedy
18,Movie,Fernando Sanjiao: Hombre,Argentina,5/25/2018,2018.0,TV-MA,Stand-Up Comedy
19,Movie,Luciano Mellera: Infantiloide,Argentina,7/6/2018,2018.0,TV-14,Stand-Up Comedy
20,Movie,The Son,Argentina,7/26/2019,2019.0,TV-MA,"Dramas, Independent Movies, International Movies"
21,TV Show,Edha,Argentina,3/16/2018,2018.0,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
22,TV Show,Psiconautas,Argentina,4/15/2018,2016.0,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
23,TV Show,Creators,Argentina,11/1/2018,2015.0,TV-Y,"Kids' TV, Spanish-Language TV Shows"
24,TV Show,The Kirlian Frequency,Argentina,2/15/2019,2017.0,TV-14,"International TV Shows, Spanish-Language TV Shows, TV Horror"
25,TV Show,"Heidi, bienvenida a casa",Argentina,5/15/2019,2017.0,TV-G,"Kids' TV, Spanish-Language TV Shows"
26,TV Show,Go! Live Your Way,Argentina,6/21/2019,2019.0,TV-G,"Kids' TV, Spanish-Language TV Shows, Teen TV Shows"
27,TV Show,Apache: The Life of Carlos Tevez,Argentina,8/16/2019,2019.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
28,TV Show,El Marginal,Argentina,9/27/2019,2019.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
29,TV Show,Monzón: A Knockout Blow,Argentina,10/25/2019,2018.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
30,TV Show,Millennials,Argentina,11/5/2019,2019.0,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
31,TV Show,No Time for Shame,Argentina,11/19/2019,2019.0,TV-MA,"International TV Shows, Reality TV, Spanish-Language TV Shows"
32,Movie,A Sort of Family,"Argentina, Brazil, France, Poland, Germany, Denmark",4/1/2018,2017.0,TV-14,"Dramas, International Movies, Thrillers"
33,Movie,The Desert Bride,"Argentina, Chile",11/8/2018,2017.0,TV-14,"Dramas, International Movies"
34,Movie,Invisible,"Argentina, France",8/1/2018,2017.0,TV-MA,"Dramas, Independent Movies, International Movies"
35,Movie,Temporada de Caza,"Argentina, France, Germany",7/15/2018,2017.0,TV-MA,"Dramas, International Movies"
36,Movie,Food on the Go,"Argentina, Italy",5/16/2018,2017.0,TV-14,"Documentaries, International Movies"
37,Movie,Perdida,"Argentina, Spain",8/9/2018,2018.0,TV-MA,"Dramas, International Movies, Thrillers"
38,Movie,Mi Obra Maestra,"Argentina, Spain",1/25/2019,2018.0,TV-MA,"Comedies, International Movies"
39,Movie,The Distinguished Citizen,"Argentina, Spain",9/1/2017,2016.0,TV-MA,"Comedies, Dramas, International Movies"
40,Movie,Despido Procedente,"Argentina, Spain",5/1/2018,2017.0,TV-MA,"Comedies, International Movies"
41,Movie,Black Snow,"Argentina, Spain",7/1/2017,2017.0,TV-MA,"Dramas, International Movies, Thrillers"
42,Movie,Tango Feroz,"Argentina, Spain",7/15/2018,1993.0,TV-MA,"Classic Movies, Dramas, International Movies"
43,TV Show,Vientos de agua,"Argentina, Spain",11/1/2019,2006.0,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Dramas"
44,Movie,Blood Will Tell,"Argentina, United States",6/21/2019,2019.0,TV-MA,"Dramas, Independent Movies, International Movies"
45,TV Show,Maradona in Mexico,"Argentina, United States, Mexico",11/13/2019,2020.0,TV-MA,"Docuseries, Spanish-Language TV Shows"
46,Movie,"El Pepe, a Supreme Life","Argentina, Uruguay, Serbia",12/27/2019,2018.0,TV-14,"Documentaries, International Movies"
47,Movie,The Lost Brother,"Argentina, Uruguay, Spain, France",9/1/2017,2017.0,TV-MA,"Dramas, International Movies"
48,Movie,Shopkins: Wild,Australia,11/15/2018,2018.0,TV-Y,Movies
49,Movie,Head On,Australia,8/25/2018,1998.0,TV-MA,"Dramas, Independent Movies, LGBTQ Movies"
50,Movie,Faraar,Australia,12/1/2018,2015.0,TV-14,"Action & Adventure, Dramas, International Movies"
51,Movie,Berlin Syndrome,Australia,8/25/2017,2017.0,R,"International Movies, Thrillers"
52,Movie,A 2nd Chance,Australia,7/1/2017,2011.0,PG,"Children & Family Movies, Dramas, Sports Movies"
53,Movie,Raising the Bar,Australia,8/1/2017,2016.0,TV-G,"Children & Family Movies, Dramas, Sports Movies"
54,Movie,Going for Gold,Australia,7/15/2018,2018.0,TV-G,"Children & Family Movies, Dramas, International Movies"
55,Movie,Red Christmas,Australia,12/11/2017,2016.0,TV-MA,Horror Movies
56,Movie,Have You Seen the Listers?,Australia,2/1/2019,2017.0,TV-MA,"Documentaries, International Movies"
57,Movie,I Am Mother,Australia,6/7/2019,2019.0,TV-14,"International Movies, Sci-Fi & Fantasy, Thrillers"
58,Movie,Goldstone,Australia,12/10/2018,2016.0,R,Thrillers
59,Movie,Ali's Wedding,Australia,6/8/2018,2018.0,TV-MA,"Comedies, Independent Movies, International Movies"
60,Movie,Mountain,Australia,10/1/2018,2017.0,PG,"Action & Adventure, Documentaries, International Movies"
61,Movie,Back of the Net,Australia,12/21/2019,2019.0,TV-G,"Children & Family Movies, Sports Movies"
62,Movie,Occupation,Australia,1/3/2019,2018.0,R,"Action & Adventure, Sci-Fi & Fantasy"
63,Movie,Hannah Gadsby: Nanette,Australia,6/19/2018,2018.0,TV-MA,Stand-Up Comedy
64,TV Show,Pine Gap,Australia,12/7/2018,2018.0,TV-MA,"International TV Shows, TV Dramas"
65,Movie,Emo the Musical,Australia,2/1/2018,2016.0,PG-13,"Dramas, International Movies, Music & Musicals"
66,Movie,Shopkins: World Vacation,Australia,11/15/2018,2017.0,TV-Y,Movies
67,Movie,Little Lunch: The Nightmare Before Graduation,Australia,3/15/2018,2016.0,TV-Y7,"Children & Family Movies, Comedies"
68,Movie,Iron Fists and Kung-Fu Kicks,Australia,12/1/2019,2019.0,TV-MA,"Documentaries, International Movies"
69,Movie,Breath,Australia,12/5/2018,2018.0,TV-MA,"Dramas, Sports Movies"
70,Movie,Da Kath & Kim Code,Australia,7/28/2018,2005.0,TV-14,Movies
71,Movie,Kath & Kimderella,Australia,7/28/2018,2012.0,TV-14,Comedies
72,Movie,Little Lunch: The Halloween Horror Story,Australia,3/15/2018,2016.0,TV-Y7,"Children & Family Movies, Comedies"
73,Movie,The Sapphires,Australia,4/26/2019,2012.0,PG-13,"Comedies, Dramas, Independent Movies"
74,TV Show,Deep Water,Australia,7/1/2017,2016.0,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas"
75,TV Show,Aussie Gold Hunters,Australia,8/1/2017,2016.0,TV-MA,"Docuseries, International TV Shows, Reality TV"
76,TV Show,Offspring,Australia,9/13/2017,2017.0,TV-MA,"TV Comedies, TV Dramas"
